# =============================================================================
# N→R PATTERN CONDITION - Nonreward Followed by Reward
# =============================================================================
# Experiment 1: Digital Treasure Hunt
#
# Condition Description:
#   - 20 trials total
#   - 10 coin chests, 10 empty chests
#   - DETERMINISTIC ALTERNATING sequence: Empty → Coin → Empty → Coin...
#   - 3 clicks required for ALL chests (same as baseline)
#
# Pattern: ❌✓❌✓❌✓❌✓❌✓❌✓❌✓❌✓❌✓❌✓
#
# Theoretical Prediction (Capaldi, 1967):
#   Sequential Theory proposes that animals (and humans) learn sequences.
#   When Nonreward (N) is consistently followed by Reward (R), this creates
#   a strong N→R memory/expectation.
#
#   In extinction (all empty), participants who learned N→R will:
#   "I just got nothing... so something should come next!"
#   This expectation drives continued responding.
#
#   CAPALDI PREDICTS: NR_PATTERN > BASELINE > RN_PATTERN
#
# Key Contrast with Festinger:
#   - Same effort as baseline (3 clicks)
#   - Same total rewards (50 coins)
#   - ONLY difference is the SEQUENCE
#   - If NR > BASELINE, supports Capaldi (sequence matters)
#   - If NR = BASELINE but HIGH_EFFORT > BASELINE, supports Festinger
# =============================================================================
trial,outcome,clicks_required,outcome_label
1,0,3,empty
2,1,3,coin
3,0,3,empty
4,1,3,coin
5,0,3,empty
6,1,3,coin
7,0,3,empty
8,1,3,coin
9,0,3,empty
10,1,3,coin
11,0,3,empty
12,1,3,coin
13,0,3,empty
14,1,3,coin
15,0,3,empty
16,1,3,coin
17,0,3,empty
18,1,3,coin
19,0,3,empty
20,1,3,coin
